lastName	firstName	licNum	tin	address	city	state
BROOKSHIRE	SCOTT	855	1629418272855	407 SPRUCE ST.	CRAIG	AK
BERGH	SCOTT	647	1790869162647	2925 DEBARR RD	ANCHORAGE	AK
THOMSON	SCOTT	3680	1861507246368	673D MDG	JBER	AK
LYKE	SCOTT	1293	1659560969129	121 W FIREWEED LN STE 280	ANCHORAGE	AK
LAUDON	SCOTT	818	1154456861818	2819 DAWSON ST	ANCHORAGE	AK
METHVEN	SCOTT	1054	1871701458105	1551 W PARKS HWY	WASILLA	AK
STEPHENS	SCOTT	3374	1225124035337	2538 E. JOYCE BLVD	FAYETTEVILLE	AR
TAYLOR	SCOTT	3082	1770558355308	2901 E ZION RD	FAYETTEVILLE	AR
BELL	SCOTT	3407	1144260209340	2680 E JOYCE BLVD	FAYETTEVILLE	AR
TAYLOR	SCOTT	3229	1588673453322	16 CHURCH STREET	CHARLESTON	AR
HILL	SCOTT	3327	1619038098332	906 S PINE STREET	CABOT	AR
SCHOEN	SCOTT	AR2999	1417989112AR2	5400 HIGHLAND DR	LITTLE ROCK	AR
EICHHORN	SCOTT	3191	1699782128319	2915 E MOORE AVE	SEARCY	AR
GEORGE	SCOTT	3233	1154338960323	2533 STATE HIGHWAY 22 W	DARDANELLE	AR
ZIMMEREBNER	SCOTT	4130	1871046078413	932 N GASKILL ST	HUNTSVILLE	AR
STUBBS	SCOTT	3568	1831314574356	304 EAST MAIN	GENTRY	AR
JOLLY	SCOTT	3258	1073520300325	4601 FAIRWAY AVE	NORTH LITTLE ROCK	AR
PICKETT	SCOTT	4006	1003222506400	2868 W MARTIN LUTHER KING BLVD	FAYETTEVILLE	AR
BOLDING	SCOTT	3025	1013064310302	2926 W HUNTSVILLE AVE	SPRINGDALE	AR
LEE	SCOTT	6726	1467665661672	1075 E RIGGS RD STE 2	CHANDLER	AZ
DALTON	SCOTT	D4013	1528096286D40	2629 W ORANGEWOOD AVE	PHOENIX	AZ
JANOWSKI	SCOTT	D009459	1255781282D00	17215 N 72ND DR STE A100	GLENDALE	AZ
LEE	SCOTT	5869	1609945989586	13000 W INDIAN SCHOOL RD	LITCHFIELD PARK	AZ
HANEY	SCOTT	9482	1073515417948	1175 HART ST.	YUMA	AZ
GUNNELL	SCOTT	5359	1225175847535	1550 E FLORENCE BLVD	CASA GRANDE	AZ
LARSEN	SCOTT	4835	1356464903483	201 W GUADALUPE RD STE 102	GILBERT	AZ
DARLINGTON	SCOTT	D4238	1558430751D42	710 N BEAVER ST	FLAGSTAFF	AZ
VAN DA HUVEL	SCOTT	2745	1083696934274	2601 E ROOSEVELT ST	PHOENIX	AZ
LESUEUR	SCOTT	2695	1073797411269	1056 S. VAL VISTA DRIVE	MESA	AZ
LEE	SCOTT	5295	1396764171529	813 W COURT ST S STE 3	SAFFORD	AZ
LAW	SCOTT	7037	1609998855703	16421 N TATUM BLVD	PHOENIX	AZ
SADLON	SCOTT	6390	1184640195639	3226 N MILLER RD	SCOTTSDALE	AZ
SHAKESPEAR	SCOTT	D008463	1992052401D00	34764 N LAREDO CT	QUEEN CREEK	AZ
MYERS	SCOTT	D5511	1619962925D55	7777 N 43RD AVE	PHOENIX	AZ
WHITENER	SCOTT	D5908	1124083936D59	829 E UNIVERSITY DR	MESA	AZ
NUESSLE	SCOTT	D5728	1245459478D57	E. ON HWY 160 TO RTE 59 BEHIND CHAPTER	KAYENTA	AZ
CARDALL	SCOTT	8546867-9922	1114269289854	7150 N 7TH ST	PHOENIX	AZ
HOWELL	SCOTT	9320	1245644970932	1701 E THOMAS RD	PHOENIX	AZ
BOMBERG	SCOTT	6169	1740246305616	30647 N 129TH AVE	PEORIA	AZ
COLEV	SCOTT	AZ2583	1811007610AZ2	1645 E BETHANY HOME RD	PHOENIX	AZ
CURRY	SCOTT	5464	1982753836546	1355 S HIGLEY RD	HIGLEY	AZ
NIELSEN	SCOTT	7835	1457581696783	781 S COTTON LN STE 100	GOODYEAR	AZ
JOSEPHSON	SCOTT	D008249	1528356201D00	10949 E BELLA VIA	MESA	AZ
STAUFFER	SCOTT	D009787	1659891430D00	270 E HUNT HWY STE 14	SAN TAN VALLEY	AZ
HARRIS	SCOTT	7277	1487842001727	20261 E OCOTILLO RD	QUEEN CREEK	AZ
CHAVEZ	SCOTT	D009083	1013318880D00	1200 GAIL GARDNER WAY	PRESCOTT	AZ
KEITH	SCOTT	D4350	1194842989D43	740 E HIGHLAND AVE	PHOENIX	AZ
WALLIN	SCOTT	5868	1346381282586	270 E HUNT HWY	QUEEN CREEK	AZ
DAY	SCOTT	6445	1245308394644	3303 S LINDSAY RD	GILBERT	AZ
HICKS	SCOTT	4374	1982756755437	108 WHIPPLE ST	PRESCOTT	AZ
IRWIN	SCOTT	5507	1669460119550	2921 N 56TH ST	PHOENIX	AZ
WEXLER	SCOTT	D6143	1992714745D61	6239 E BROWN RD	MESA	AZ
JOHNSON	SCOTT	1255712055	1255712055801	5855 W UTOPIA RD	GLENDALE	AZ
HANNON	SCOTT	1994	1881807204199	1375 W. 16TH STREET	YUMA	AZ
